league_gender;team_name;team_id
Men;Bergische V;1001
Men;Bergische Volleys;1001
Men;BERLIN R;1002
Men;BERLIN RECYCLING;1002
Men;CLOUD HEAT V;NA
Men;CV Mitteldeutschland;1003
Men;CV Mitteldeutschlan;1003
Men;evivo Düren;1004
Men;Generali Haching;1005
Men;HYPO TIROL;1006
Men;HYPO TIROL A;1006
Men;Moerser SC;1007
Men;Netzhoppers;1008
Men;NETZHOPPERS K;1008
Men;Netzhoppers S;1008
Men;Netzhoppers Solwo;1008
Men;Netzhoppers SolWo;1008
Men;RWE Volleys B;NA
Men;Solingen Volleys;1001
Men;SVG Lünebur;1009
Men;SVG Lüneburg;1009
Men;SWD powervo;1004
Men;SWD powervolleys;1004
Men;SWD powervolleys D;1004
Men;TSV Herrsch;1010
Men;TSV Herrsching;1010
Men;TV Ingersoll Bühl;1011
Men;TV Rottenbu;1012
Men;TV Rottenburg;1012
Men;United V;1013
Men;United Volleys R;1013
Men;VC Dresden;1014
Men;VCO Berlin;1015
Men;VfB Friedri;1016
Men;VfB Friedrichshafen;1016
Men;Volleyball;1011
Men;Volleyball Bisons;1011
Men;Volleyball Bisons B;1011
Men;VSG Coburg Grub;1018
Women;Allianz MTV;2001
Women;Allianz MTV S;2001
Women;Dresdner SC;2002
Women;Köpenicker SC;2003
Women;Köpenicker SC B;2003
Women;Ladies in B;2004
Women;Ladies in black A;2004
Women;Ladies in Black A;2004
Women;NawaRo Straubing;2013
Women;Rote Raben;2005
Women;Rote Raben V;2005
Women;SC Potsdam;2006
Women;Schwarz Wei;2014
Women;Schwarz Weiß;2014
Women;Schwarz Weiß E;2014
Women;Schwarz Weiß Erfurt;2014
Women;Schweriner SC;2007
Women;SSC Palmber;2007
Women;SSC Palmberg S;2007
Women;USC Münster;2008
Women;VC Wiesbade;2009
Women;VC Wiesbaden;2009
Women;VCO Berlin;2012
Women;VfB  Suhl;2011
Women;VfB Suhl;2011
Women;VfB Suhl L;2011
Women;VfB Suhl LOTTO T;2011
Women;VolleyStars T;2011
Women;VT Aurubis H;2010